time,2182a_volt,TMP117_room_temp,RTEMperature,ACALtemp
1714670795.8816664,+3.48048479E-08,0.0,30.68,30.61
1714670797.7122111,+2.96266786E-08,0.0,30.68,30.61
1714670799.5312517,+3.00409246E-08,24.56,30.68,30.61
1714670801.361701,+1.81310530E-08,24.55,30.68,30.61
1714670804.201492,+1.49205881E-08,24.55,30.67,30.61
1714670806.0312872,+1.93737150E-08,24.56,30.67,30.61
1714670808.8709958,+2.91088035E-08,24.56,30.67,30.61
1714670810.751074,+1.53346262E-08,24.56,30.67,30.61
1714670813.5909712,+2.93160099E-08,24.56,30.66,30.61
1714670815.7505467,+1.83379316E-08,24.56,30.66,30.61
1714670818.5904765,+2.98336610E-08,24.56,30.66,30.61
1714670820.750109,+2.66231708E-08,24.56,30.65,30.61
1714670823.5899973,+1.78202751E-08,24.56,30.65,30.61
1714670825.749952,+1.77167560E-08,24.57,30.65,30.61
1714670828.5795126,+2.06165367E-08,24.57,30.64,30.61
1714670830.7493186,+2.17556535E-08,24.56,30.64,30.61
1714670833.5792356,-1.02841082E-09,24.56,30.64,30.61
1714670835.769006,+1.82346209E-08,24.57,30.64,30.61
1714670838.5890133,+2.28949623E-08,24.57,30.63,30.61
1714670840.768782,+2.33089055E-08,24.57,30.63,30.61
1714670843.6080966,+2.55875184E-08,24.57,30.63,30.61
1714670845.7786088,+2.82801997E-08,24.57,30.62,30.61
1714670848.6082685,+1.50239359E-08,24.57,30.62,30.61
1714670850.7781172,+1.84416252E-08,24.57,30.62,30.61
1714670853.6077921,+2.22735841E-08,24.57,30.61,30.61
1714670855.7874923,+2.56911062E-08,24.57,30.61,30.61
1714670857.6074219,+1.66810653E-08,24.57,30.61,30.61
1714670860.44752,+4.30900373E-08,24.57,30.61,30.61
1714670862.2873256,+3.23192491E-08,24.56,30.60,30.61
1714670865.1270607,+1.64738298E-08,24.56,30.60,30.61
1714670866.947106,+2.81765623E-08,24.56,30.60,30.61
1714670869.777001,+7.36025703E-09,24.56,30.59,30.61
1714670871.6069324,+3.25262721E-08,24.57,30.59,30.61
1714670874.4463794,+3.19050800E-08,24.57,30.59,30.61
1714670876.28642,+1.88561071E-08,24.57,30.59,30.61
1714670879.116367,+2.41378357E-08,24.57,30.58,30.61
1714670880.9561744,+1.51275281E-08,24.57,30.58,30.61
1714670883.7958627,+2.83837063E-08,24.57,30.58,30.61
1714670885.8056552,+2.24807682E-08,24.57,30.58,30.61
